original_product,original_category,catalog_product,catalog_category,confidence
FRANGO INTEIRO C/M CNT KG LS,Talho,Frango,Carne & Peixe,Manual
MASSA QUEBRADA CNT 230GR,Take Away,Massa quebrada,Cereais,Manual
ATUM AZEITE BOM PETISCO 251G,Mercearia Salgada,Atum,Carne & Peixe,Manual
MORTADELA C/ AZEITONAS CNT,Charcutaria&Queijos,Mortadela,Charcutaria,Manual
CEBOLA ROXA CNT KG,Frutas e Legumes,Cebolas,Frutas & Legumes,Manual
GRANOLA 0% ACUCAR WHY FOODS 300,Pequeno Almoco,Granola,Snacks e Doces,Manual
LEITE C/CHOC MIMOSA 4*200ML,Laticinios/Beb. Veg.,Leite,Lacticínios,Manual
PIZZA FIAMBRE E QJ 410G CNT,Take Away,Queijo,Lacticínios,Manual
OVOS SOLO M CNTINENTE,Laticinios/Beb. Veg.,Ovos,Lacticínios,Manual
AZEITE BOM PETISCO 78G,Bens Essenciais,Atum,Carne & Peixe,Manual
IOGURTE LIMAO/LIMAO 4*155G,Laticinios/Beb. Veg.,Iogurtes,Lacticínios,Manual
FIAMBRE ITALIANO CORTE GUSTO 10,Charcutaria&Queijos,Fiambre,Carne & Peixe,Manual
COG BRANCO INTEIRO CNT (CBD),Frutas e Legumes,Cogumelos,Frutas & Legumes,Manual
DET PAST LOIC FINISH PWR LIM 85,Higiene,Detergente maquina loiça,Casa,Manual
LIMAO IGP ALGARVE 1KG,Frutas e Legumes,Limão,Frutas & Legumes,Manual
VELA N  1 AZUL/VERDE,Casa-Mesa/Mobiliario,Velas,Casa,Manual
CEBOLA CNT EMB. 1,Frutas e Legumes,Cebolas,Frutas & Legumes,Manual
NECTAR UM BONGO 8 FRUTOS 1L,Soft Drinks,Frutos silvestres,Frutas & Legumes,Manual
LARANJA,Frutas e Legumes,Laranja,Frutas & Legumes,Manual
TORT. MILHO CNT EQ. C/SAL 130G,Mercearia Doce,Bolachas de milho,Padaria & Pastelaria,Manual
MOLHO PIZZA TD GULOSO 44OG,Mercearia Salgada,Molho de tomate,Ingredientes & Temperos,Manual
VITELAO COZER - AT,Talho,Carne vaca,Carne & Peixe,Manual
MEL SERRAMEL ROSMANINHO 500G,Pequeno Almoco,Mel,Snacks & Doces,Manual
CHA TETLEY COLD LIMA LIMA 10SAQ,Pequeno Almoco,Chá,Bebidas,Manual
COGUMELO MARRON CNT 300G ILHAS,Frutas e Legumes,Cogumelos,Frutas & Legumes,Manual
CHAMPO HERBAL COCO HIDRATA 680M,Beleza,Champô,Higiene & Saúde,Manual
FAR.TR.FI.S/F ESPIGA T65 NAT1KG,Bens Essenciais,Farinha trigo T65,Cereais,Manual
IOGURTE NATURAL COTTON CANDY,Laticinios/Beb. Veg.,Iogurtes,Lacticínios,Manual
QUEIJO MOZZARELLA CONTINENTE 12,Charcutaria&Queijos,Queijo mozzarella fresco,Lacticínios,Manual
BAC DESFIADO SALGA SECO CONT KG,Peixaria,Bacalhau,Carne & Peixe,Manual
PURE MACA ANDROS S/ACUCAR 730G,Mercearia Doce,Puré de maça,Snacks & Doces,Manual
SKYR SOL CNT EQ COCO 150G,Laticinios/Beb. Veg.,Iogurtes,Lacticínios,Manual
CAPSULAS DESCAFEINADO L OR 2OCA,Pequeno Almoco,Café,Bebidas,Manual
BATATA ESPECIAL COZER SC 3KG,Frutas e Legumes,Batatas,Frutas & Legumes,Manual
BATATA BRANCA 0 DESP 4 KG,Frutas e Legumes,Batatas,Frutas & Legumes,Manual
RC RENOVA DESIGN XXL 3R,Limpeza do Lar,Rolo papel de cozinha,Casa,Manual
NATA UHT CREMOSA MIMOSA 200ML,Laticinios/Beb. Veg.,Natas,Lacticínios,Manual
FEIJAO FRADE COMPAL 468G,Mercearia Salgada,Feijao,Cereais,Manual
PORCO ENTREM. C/OSSO,Talho,Carne porco,Carne & Peixe,Manual
BOLA DE MISTURA 80G,Padaria,Pão,Padaria & Pastelaria,Manual
QJ FRESCO CABRA QUEIJ. LICINIA,Charcutaria&Queijos,Queijo fresco,Lacticínios,Manual
ALCATRA NOV ANGUS AT,Talho,Carne vaca,Carne & Peixe,Manual
QUINOA CONT.EQUILIBRIO 500G,Bens Essenciais,Quinoa,Cereais,Manual
FAR TRIGO C/FER SUP FINA CNT1KG,Bens Essenciais,Farinha,Cereais,Manual
MANTEIGA C/SAL MIMOSA 125G,Laticinios/Beb. Veg.,Manteiga,Lacticínios,Manual
CERV C/ALC SB 1927 MUNICH D 33C,Soft Drinks,Cerveja,Bebidas,Manual
QJ MASCARPONE BRESCIALAT 250G,Charcutaria&Queijos,Queijo mascarpone,Lacticínios,Manual
FENO HIPO OLIVA 650ML,Higiene,Gel de banho,Higiene & Saúde,Manual
CAD AGRAF A4 LISO OXFORD OPENFL,Cultura,Papel A4,Casa,Manual
MASCARPONE GRANAROLO 250G,Laticinios/Beb. Veg.,Queijo mascarpone,Lacticínios,Manual
QJ FLAM T.NOST LIGHT FAT2*200G,Laticinios/Beb. Veg.,Queijo flamengo fatiado,Lacticínios,Manual
AROMA VAHINE BAUNILHA 200ML,Mercearia Doce,Aroma de baunilha,Ingredientes & Temperos,Manual
DET LIQ ULTIMATCONT.POWER+ 86DS,Limpeza do Lar,Detergente roupa,Casa,Manual
QUEIJO MOZZARELLA GALBANI ST LU,Laticinios/Beb. Veg.,Queijo mozzarella fresco,Lacticínios,Manual
CEREJA DO FUNDAO PREMIUM CAL. 2,Frutas e Legumes,Cerejas,Frutas & Legumes,Manual
QJ FRESCO LD MATINAL 3*72G,Charcutaria&Queijos,Queijo fresco,Lacticínios,Manual
GRAO BICO COMPAL 234G,Mercearia Salgada,Grão-de-bico,Cereais,Manual
NOVILHO BIFE DA VAZIA - AT,Talho,Carne vaca,Carne & Peixe,Manual
NOVILHO CACHACO AT,Talho,Carne vaca,Carne & Peixe,Manual
PAST COLGAT TOT ADVA SENS 75 ML,Higiene,Pasta de dentes,Higiene & Saúde,Manual
PASTA D. COLGATE TRI. ACAO100ML,Higiene,Pasta de dentes,Higiene & Saúde,Manual
TAMBORIL CUBOS CONGELADOS 500G,Peixaria,Peixe,Carne & Peixe,Manual
VITELAO ESTUFAR AT,Talho,Carne vaca,Carne & Peixe,Manual
COGUMELO BRANCO INTEIRO CNT EMB,Frutas e Legumes,Cogumelos,Frutas & Legumes,Manual
MAIONESE VIANEZA 450ML,Mercearia Salgada,Maionese,Ingredientes & Temperos,Manual
GB PALMOLIVE NATURALS L&M 1L,Higiene,Gel de banho,Higiene & Saúde,Manual
COG BRANCO INTEIRO CNT 300G ILH,Frutas e Legumes,Cogumelos,Frutas & Legumes,Manual
ERVA DOCE EM GRAO CNT FR 35G,Mercearia Salgada,Funcho,Frutas & Legumes,Manual
BOMBONS AFTER EIGHT MENTA 200G,Mercearia Doce,Chocolate,Snacks & Doces,Manual
ISMASS COTOV GROSSOS MILANEZA 500,Bens Essenciais,Massa,Cereais,Manual
TAMBORIL FRESCO KG,Peixaria,Peixe,Carne & Peixe,Manual
VT TAPADA DAS LEBRES SIGN REG A,Vinho e Espirituosas,Vinho tinto,Bebidas,Manual
IOG AR MIMOSA COCO/MANGA/BANANA,Laticinios/Beb. Veg.,Iogurtes,Lacticínios,Manual
QJ FRESC BARRAR ALHO/ERVAS SANT,Charcutaria&Queijos,Queijo,Lacticínios,Manual
COUVE BROCOLO,Frutas e Legumes,Brócolos,Frutas & Legumes,Manual
PORCO COSTELETAS CACHACO,Talho,Carne porco,Carne & Peixe,Manual
POSTAS BAC RIBER 4 M CURA 750G,Peixaria,Bacalhau,Carne & Peixe,Manual
FAR.TR.FINA C/F BRANCA NEVE 1KG,Bens Essenciais,Farinha bolos,Cereais,Manual
REF.C/GAS COCA COLA 1,Soft Drinks,Refrigerante,Bebidas,Manual
MINI SALSICHAS PORCO KIDS CONT,Talho,Salsichas,Carne & Peixe,Manual
FILETE CAVALA EM AZ VE GALLO 12,Mercearia Salgada,Peixe,Carne & Peixe,Manual
RC CONTINENTE RECICLADO 4R,Limpeza do Lar,Rolo papel de cozinha,Casa,Manual
QJ CREME PHILADELPHIA 150G,Laticinios/Beb. Veg.,Queijo,Lacticínios,Manual
BOLA DE LENHA,Padaria,Pão,Padaria & Pastelaria,Manual
COUTADA VELHA SIGNATURE ALENTEJANO,Vinho e Espirituosas,Vinho,Bebidas,Manual
CEBOLINHO MARGAO FRASCO 2,Mercearia Salgada,Cebolinho,Frutas & Legumes,Manual
AZEITO PRETA DESCAROCAD OXIDADA,Frutas e Legumes,Azeitonas,Ingredientes & Temperos,Manual
VT MONTE RAVASQUEIRA SUP.REG.AL,Vinho e Espirituosas,Vinho tinto,Bebidas,Manual
COG BRANCO 200 G-PT-BIO-03,Frutas e Legumes,Cogumelos,Frutas & Legumes,Manual
CASTANHA CNT CAL. 50/70 KG,Frutas e Legumes,Castanhas,Frutas & Legumes,Manual
CALDO VERDE CNT 250GR,Frutas e Legumes,Sopa,Take away,Manual
VB MULA VELHA PREMI.RG LIS 75CL,Vinho e Espirituosas,Vinho branco,Bebidas,Manual
PH COLHOGAR ULT SUAVE XXL 12=24,Limpeza do Lar,Papel higiénico,Casa,Manual
ESC COLGATE TRIPLE ACTION 4UN,Higiene,Pasta de dentes,Higiene & Saúde,Manual
REF.C/GAS S/ ACU COCACOLA 1,Soft Drinks,Refrigerante,Bebidas,Manual
SAPATEIRA COZID GRAND CNT SELEC,Peixaria,Sapateira,Carne & Peixe,Manual
AMAC COMFORT AZUL LEVEZA 4L,Limpeza do Lar,Amaciador,Casa,Manual
DET LIQ PERSIL SABA&B 100D,Limpeza do Lar,Detergente roupa,Casa,Manual
PAST MAQ LOICA AIO CNT 70UN,Limpeza do Lar,Detergente maquina loiça,Casa,Manual
ALHO PICADO MARGAO FRASCO 60G,Mercearia Salgada,Alho,Frutas & Legumes,Manual
MASSA FETTUCCINE MILANEZA 500G,Bens Essenciais,Massa,Cereais,Manual
CAPSULAS CAFE L OR COLOMBIA 40U,Pequeno Almoco,Café,Bebidas,Manual
FEIJAO FRADE COMPAL 234G,Mercearia Salgada,Feijao,Cereais,Manual
PORCO ENTREMEADA .,Talho,Carne porco,Carne & Peixe,Manual
PORCO ENTRECOSTO,Talho,Carne porco,Carne & Peixe,Manual
VB COUTADA VELHA PREMIUM REG.AL,Vinho e Espirituosas,Vinho branco,Bebidas,Manual
NATA UHT P/BAT CONTINENTE 200,Laticinios/Beb. Veg.,Natas,Lacticínios,Manual
QJ RALADO MASSAS MIX 3 QJ CNT 2,Charcutaria&Queijos,Queijo,Lacticínios,Manual
ABACAXI KG,Frutas e Legumes,Ananás,Frutas & Legumes,Manual
NECTARINA,Frutas e Legumes,Nectarina,Frutas & Legumes,Manual
VB MONTE DA RAVASQUEIRA 75,Vinho e Espirituosas,Vinho branco,Bebidas,Manual
ROLOS COZINHA CNT 2=4R,Limpeza do Lar,Rolo papel de cozinha,Casa,Manual
MACA FUJI NACIONAL KG,Frutas e Legumes,Maçãs,Frutas & Legumes,Manual
FEIJAO BRANCO COMPAL 470G,Mercearia Salgada,Feijão branco,Cereais,Manual
VT VINHA DA COUTADA VELHA RG.A,Vinho e Espirituosas,Vinho tinto,Bebidas,Manual
CEBOLINHO CNT EMB.20GR,Frutas e Legumes,Cebolinho,Frutas & Legumes,Manual
CH PRT PORCO PRT ALENT CNT SELE,Charcutaria&Queijos,Carne porco,Carne & Peixe,Manual
DET CAPS MAQ LOIC FINISH QUANTU,Limpeza do Lar,Detergente maquina loiça,Casa,Manual
PAST TRIDENT BOTTLE MOR 82.5G,Mercearia Doce,Pastilha elástica,Snacks & Doces,Manual
SAB.CARVAO 90G,Higiene,Sabonete,Higiene & Saúde,Manual
CHAMPO HERBAL ORANGE VOLUME 350,Beleza,Champô,Higiene & Saúde,Manual
REQUEIJAO DE OVELHA AZEITAO KG,Charcutaria&Queijos,Requeijão,Lacticínios,Manual
FRANGO INTEIRO SACO,Talho,Frango,Carne & Peixe,Manual
CENOURA KG,Frutas e Legumes,Cenouras,Frutas & Legumes,Manual
CAFE LOR RISTRETTO DESCAF 10CAP,Pequeno Almoco,Café,Bebidas,Manual
COUVE LOMBARDA CNT KG,Frutas e Legumes,Couve lombarda,Frutas & Legumes,Manual
FEIJAO CATARINO CONTINENTE 500G,Bens Essenciais,Feijao,Cereais,Manual
MINI TOSTAS CONTINENTE 350GR,Padaria,Tostas,Padaria & Pastelaria,Manual
LEITE UHT M/G PASTAGEM T NOSTRA,Laticinios/Beb. Veg.,Leite,Lacticínios,Manual
ALHO SECO CNT 250GR,Frutas e Legumes,Alho,Frutas & Legumes,Manual
FIAMBRE PERNA EXTRA FINISSIMAS,Charcutaria&Queijos,Fiambre,Carne & Peixe,Manual
LIMAO,Frutas e Legumes,Limão,Frutas & Legumes,Manual
O NOSSO CROISSANT,Cafetaria,Croissant,Padaria & Pastelaria,Manual
FENO HIPOALERG MEL 650ML,Higiene,Gel duche,Snacks & Doces,Manual
MELANCIA RISCADA ALONGADA FR KG,Frutas e Legumes,Melancia,Frutas & Legumes,Manual
FIAMBRE PERNA EXTRA FAT CNT 2X2,Charcutaria&Queijos,Fiambre,Charcutaria,Manual
VB CONTINENTE 1L,Vinho e Espirituosas,Vinho branco cozinhar,Bebidas,Manual
MANGA PALMER AVIAO,Frutas e Legumes,Manga,Frutas & Legumes,Manual
MASSA MACARRAO GD MILANEZA 500G,Bens Essenciais,Massa,Cereais,Manual
PAO PASSAS 300G,Padaria,Pão,Padaria & Pastelaria,Manual
CEREAIS CHOCAPIC 900GR,Pequeno Almoco,Chocapic,Cereais,Manual
LARANJA IGP ALGARVE,Frutas e Legumes,Laranja,Frutas & Legumes,Manual
FILTROS CAFE CONTINENTE 100UN,Limpeza do Lar,Café,Bebidas,Manual
CHAM HERBAL HIDRA COC 400ML,Beleza,Chá,Bebidas,Manual
MIRTILO 500 G,Frutas e Legumes,Mirtilos,Frutas & Legumes,Manual
TARTE GELADA BAUNILHA VIENNETTA,Congelados,Açúcar de baunilha,Ingredientes & Temperos,Manual
SKYR SOL CNT EQ MIRTILO 150G,Laticinios/Beb. Veg.,Mirtilos,Frutas & Legumes,Manual
CR NIVEA HIDRATANTE PROTECT&CA,Beleza,Creme rosto Nivea man,Higiene & Saúde,Manual
MANGA,Frutas e Legumes,Manga,Frutas & Legumes,Manual
COGUMELO MARRON CNT (CBD) 300G,Frutas e Legumes,Cogumelos,Frutas & Legumes,Manual
SOPA DE NABICAS CNT F&B 800G,Take Away,Sopa,Take away,Manual
FRANGO INTEIRO C/M GRANEL,Talho,Frango,Carne & Peixe,Manual
ATUM AZEITE BOM PETISCO 78G,Mercearia Salgada,Atum,Carne & Peixe,Manual
TOSTAS CRISPBREAD ORIGINAL WASA,Mercearia Doce,Tostas,Padaria & Pastelaria,Manual
MARINHEIRAS TRADICIONAIS CNT,Mercearia Doce,Bolachas marinheiras,Padaria & Pastelaria,Manual
MANGA MATURADA CNT KG,Frutas e Legumes,Manga,Frutas & Legumes,Manual
PIZZA VEGETARIANA CNT 400G,Take Away,Pizza,Take away,Manual
SOPA OU SOBREMESA,Rest. e Cafetaria,Sopa,Take away,Manual
FRANGO CAMPO INT. S/MIUDOS LS,Talho,Frango,Carne & Peixe,Manual
FIAMBRE PERNA EXTRA NOBRE FATIA,Charcutaria&Queijos,Fiambre,Charcutaria,Manual
MACA GALA R0 ALCOBACA KG,Frutas e Legumes,Maçã royal gala,Frutas & Legumes,Manual
FIAMBRE PERNA EXT FAT FINAS CNT,Charcutaria&Queijos,Fiambre,Charcutaria,Manual
COGUMELO PLEUROTUS CNT 200G,Frutas e Legumes,Cogumelos,Frutas & Legumes,Manual
CAFE DELTA Q BIO 10CAP,Pequeno Almoco,Café,Bebidas,Manual
UVA RED GLOBE,Frutas e Legumes,Uvas,Frutas & Legumes,Manual
FEIJAO PRETO COMPAL 468G,Mercearia Salgada,Feijao,Cereais,Manual
MISTURA FRUTOS BOSQUE CNT 200G,Frutas e Legumes,Frutos silvestres,Frutas & Legumes,Manual
ALHO MOIDO MARGAO SAQ 40G,Mercearia Salgada,Alho,Frutas & Legumes,Manual
OVOS AR LIVRE M/L CNT 12UN,Laticinios/Beb. Veg.,Ovos,Lacticínios,Manual
PAO AGUA KG,Padaria,Pão,Padaria & Pastelaria,Manual
ESPARGOS VERDES 250G,Frutas e Legumes,Espargos,Frutas e Legumes,Manual
CR DUCHE NIVEA CR CARE 750ML,Higiene,Gel duche,Higiene & Saúde,Manual
ROMA,Frutas e Legumes, Roma,Frutas & Legumes,Manual
RUCULA SELVAGEM VITACRESS 50GR,Frutas e Legumes,Rúcula,Frutas & Legumes,Manual
CREME DIA PNM NIVEA 50ML,Beleza,Creme rosto Nivea man,Higiene & Saúde,Manual
PAST TRIDEN BOTTLE WHITE SPEARM,Mercearia Doce,Pastilha elástica,Snacks & Doces,Manual
GEL LIMPEZA NIVEA EXFOLIANT PRO,Beleza,Gel de banho,Higiene & Saúde,Manual
CONDI HERBAL ORANGE VOL 250ML,Beleza,Amaciador cabelo,Higiene & Saúde,Manual
MOSTARDA TOP DOWN CALVE 257G,Mercearia Salgada,Mostarda,Ingredientes & Temperos,Manual
ABACAXI FRACIONADO,Frutas e Legumes,Ananás,Frutas & Legumes,Manual
IOG MYTHOS NATURAL COT 1KG,Laticinios/Beb. Veg.,Iogurte,Lacticínios,Manual
PERA ROCHA,Frutas e Legumes,Peras,Frutas & Legumes,Manual
CHOC CADBURY LEIT DAIRY MILK45G,Mercearia Doce,Leite c/ chocolate,Bebidas,Manual
CURGETE VERDE CNT KG,Frutas e Legumes,Courgette,Frutas & Legumes,Manual
PIZZA ROMANA CNT 415G,Take Away,Pizza,Congelados,Manual
MINI TORT MILHO SAQUETA CNT EQU,Mercearia Doce,Bolachas de milho,Padaria & Pastelaria,Manual
PORCO ENTRECOSTO PARA GRELHAR,Talho,Carne porco,Casa,Manual
FILETES PESCADA CONGELADOS 1KG,Peixaria,Filetes de pescada,Carne & Peixe,Manual
VAZIA NOV ANGUS AT,Talho,Carne vaca,Carne & Peixe,Manual
VB EA REG ALENT 75CL,Vinho e Espirituosas,Vinho branco,Bebidas,Manual
TOSTAS MINI GRILL DIATOSTA 350G,Padaria,Tostas,Padaria & Pastelaria,Manual
ABACAXI DE AVIAO PREMIUM,Frutas e Legumes,Ananás,Frutas & Legumes,Manual
TREMOCO EXTRA CNT 800G,Frutas e Legumes,Tremoços,Snacks & Doces,Manual
PIZZA BARBECUE CNT 400G,Take Away,Pizza,Congelados,Manual
NABO SEM RAMA CNT KG,Frutas e Legumes,Nabo,Frutas & Legumes,Manual
MISTURA CAJU CRU E ARANDOS 200G,Frutas e Legumes,Fruta seca,Snacks & Doces,Manual
QJ CHEDDAR FATIADO MR CHEESE 15,Charcutaria&Queijos,Queijo cheddar,Lacticínios,Manual
ABACAXI SUPER SWEET,Frutas e Legumes,Ananás,Frutas & Legumes,Manual
CAVALA FRESCA KG,Peixaria,Peixe,Carne & Peixe,Manual
LIQ MAQ ROU SKIP SABAO NATU,Limpeza do Lar,Detergente roupa,Casa,Manual
MEL FL. DE LARAN. SERRAMEL 300G,Pequeno Almoco,Mel,Snacks & Doces,Manual
TRIDENT SENSES WATERMELON 23G,Mercearia Doce,Pastilha elástica,Snacks & Doces,Manual
QJ RALADO PIZZA CNT 200G,Charcutaria&Queijos,Queijo mozzarella ralado,Lacticínios,Manual
DESINFECTANTE ROUPA SANYTOL,Limpeza do Lar,Desinfetante roupa,Casa,Manual
NATA UHT P/BAT CONTINENTE,Laticinios/Beb. Veg.,Natas,Lacticínios,Manual
PORCO BIFANAS,Talho,Carne porco,Casa,Manual
RECARGA ESFREGONA SUPER DUPLA,Casa-Cozinha/Lavand,Esfregona,Casa,Manual
LEVEDURA FRESCA CUBINHOS 50G,Padaria,Levedura,Ingredientes & Temperos,Manual
QUEIJO RICOTTA FINETTA GALBANI,Charcutaria&Queijos,Queijo,Lacticínios,Manual
CH CARNE FUNDAO CNT 220G,Charcutaria&Queijos,Chouriço,Carne & Peixe,Manual
QJ AMANTEIGADO OVELHA SEIA,Charcutaria&Queijos,Queijo ovelha/cabra,Lacticínios,Manual
VITELAO BIFE DO REDONDO - AT,Talho,Carne vaca,Carne & Peixe,Manual
REQUEIJAO OVELHA SEIA TAVARES,Charcutaria&Queijos,Requeijão,Lacticínios,Manual
VB CABRIZ C.SELEC DOC DAO 75CL,Vinho e Espirituosas,Vinho branco,Bebidas,Manual
CERV.C/ALC.SUPER BOCK TP P.6*33,Soft Drinks,Cerveja,Bebidas,Manual
PAST BOT TRIDENT 60MIN SPE,Mercearia Doce,Pastilha elástica,Snacks & Doces,Manual
ARROZ BASMATI CACAROLA 2.5KG,Bens Essenciais,Arroz basmati,Cereais,Manual
TETLEY COLD BREW ARANDO&LIMA,Pequeno Almoco,Chá,Bebidas,Manual
MOZZARELLA DE BUFALA DOP SELECC,Charcutaria&Queijos,Queijo mozzarella fresco,Lacticínios,Manual
ESTUFAR (PEITO) NOV ANGUS,Talho,Carne vaca,Carne & Peixe,Manual
VT TAPADA LEBRES PREM REG.AL 75,Vinho e Espirituosas,Vinho tinto,Bebidas,Manual
CARVAO CHURRASQUEIRA 3KG CONTIN,DIY,Carvão,Bricolage & Jardim,Manual
RECARGA ESFREGONA PREMIUM 2EM1,Casa-Cozinha/Lavand,Esfregona,Casa,Manual
FOLHAS P/ LASANHA RANA 250G,Take Away,Massa lasanha,Cereais,Manual
DOCE CNT SELECAO ABOB NOZ 250G,Pequeno Almoco,Doce de abóbora,Snacks & Doces,Manual
PAIO YORK FAT CNT 200G,Charcutaria&Queijos,Paio,Carne & Peixe,Manual
CR BARRAR NUTELLA AV/CACAU 350G,Pequeno Almoco,Nutella,Snacks & Doces,Manual
HAMB. NOV. ANGUS SEL 100% CARNE,Talho,Carne vaca,Carne & Peixe,Manual
TAB LINDT EXCELLENCE FRAMB&AVEL,Mercearia Doce,Chocolate,Snacks & Doces,Manual
QJ CABRA QUINTA DO OLIVAL K,Charcutaria&Queijos,Queijo,Lacticínios,Manual
FEIJAO BRANCO CONTINENTE 500G,Bens Essenciais,Feijão branco,Cereais,Manual
VT CANCELLUS PREM DOC DOURO 75,Vinho e Espirituosas,Vinho tinto,Bebidas,Manual
ROLOS COZINHA 4=12 CONT.POUP,Limpeza do Lar,Rolo papel de cozinha,Casa,Manual
ESFREGAO ACO INOX CNT 4UN,Limpeza do Lar,Esfregão aço inox,Casa,Manual
VB MONTE RAVASQUEIRA SUP REG.AL,Vinho e Espirituosas,Vinho branco,Bebidas,Manual
BANANA DA MADEIRA,Frutas e Legumes,Bananas,Frutas & Legumes,Manual
COGUMELO BRANCO CONTINENTE KG,Frutas e Legumes,Cogumelos,Frutas & Legumes,Manual
MELANCIA PRETA P/ SEM FRAC KG,Frutas e Legumes,Melancia,Frutas & Legumes,Manual
LOMBO BACALHA 4 MESES CURA 240G,Peixaria,Bacalhau,Carne & Peixe,Manual
CHOC.CULINARIA NESTLE 70% CACAU,Mercearia Doce,Chocolate culinária,Snacks & Doces,Manual
PAPEL VEGETAL CONTINENTE 30UN,Limpeza do Lar,Papel vegetal,Casa,Manual
ARR CAROL EXT LONGO CIGALA 1KG,Bens Essenciais,Arroz carolino,Cereais,Manual
DET LIQ SKIP CICLOS CURTOS ANTI,Limpeza do Lar,Detergente roupa,Casa,Manual
VB CANCELLUS PREMIUM DOC DOURO,Vinho e Espirituosas,Vinho branco,Bebidas,Manual
CALDO VERDE 800GR CZ CNT,Take Away,Sopa,Take away,Manual
CONDIC HERBAL COCO HIDRA 350ML,Beleza,Acondicionador,Higiene & Saúde,Manual
INF N18 SAO ROBERTO R NATUR 15G,Pequeno Almoco,Chá,Bebidas,Manual
MACA FUJI EMB,Frutas e Legumes,Maçãs,Frutas & Legumes,Manual
QUINOA CONTINENTE BIO 500G,Bens Essenciais,Quinoa,Cereais,Manual
VB VINHA MARIA RES DAO 75CL,Vinho e Espirituosas,Vinho branco,Bebidas,Manual
QJ MOZZARELLA ST LUCIA GALBANI,Charcutaria&Queijos,Queijo mozzarella fresco,Lacticínios,Manual
TRIDENT SENSES WATERMELON 3*23G,Mercearia Doce,Pastilha elástica,Snacks & Doces,Manual
ARROZ BASMATI CACAROLA 1KG,Bens Essenciais,Arroz basmati,Cereais,Manual
FERMENTO PO ROYAL 113G,Mercearia Doce,Fermento em pó,Ingredientes & Temperos,Manual
CH FRUCTIS HIDRA CARACOIS 400,Beleza,Champô,Higiene & Saúde,Manual
PORCO PA C/OSSO,Talho,Carne porco,Casa,Manual
PORCO CACHACO 1/2 ASSAR S/OSSO,Talho,Carne porco,Casa,Manual
AVELA C/PELE CNT 200G,Frutas e Legumes,Fruta seca,Snacks & Doces,Manual
QJ AMANT S/CASC VACA/OVELHA LIM,Charcutaria&Queijos,Queijo,Lacticínios,Manual
MANTEIGA C/SAL MILHAFRE 250G,Laticinios/Beb. Veg.,Manteiga,Lacticínios,Manual
QJ MISTURA CONTINENTE UN,Charcutaria&Queijos,Queijo ovelha/cabra,Lacticínios,Manual
QUEIJO PARMIGIANO REGGIANO 150G,Charcutaria&Queijos,Queijo,Lacticínios,Manual
QJ CHEDDAR FATIAS CNT 150G,Charcutaria&Queijos,Queijo cheddar,Lacticínios,Manual
CR. NIVEA HIDRATANTE PROTECT&CA,Beleza,Creme rosto Nivea man,Higiene & Saúde,Manual
PORCO COSTELETAS LOMBO,Talho,Carne porco,Carne & Peixe,Manual
PAST TRIDEN ORAL B SPEARMINT BO,Mercearia Doce,Pastilha elástica,Snacks & Doces,Manual
PORCO LOMBO ASSAR S/OSSO VACUO,Talho,Carne porco,Carne & Peixe,Manual
QJ RALADO PIZZA CNT 2X200G,Charcutaria&Queijos,Queijo mozzarella ralado,Lacticínios,Manual
CH PORCO PRETO ALENTEJO CNT SEL,Charcutaria&Queijos,Rolo papel de cozinha,Casa,Manual
VB VINHA DA COUTADA VELHA RG.AL,Vinho e Espirituosas,Vinho branco,Bebidas,Manual
NECTARINA KG,Frutas e Legumes,Nectarina,Frutas & Legumes,Manual
QJ FRESCO LIGHT PHILADELPHI,Charcutaria&Queijos,Queijo fresco,Lacticínios,Manual
ARROZ CAROLINO CACAROLA 1KG,Bens Essenciais,Arroz carolino,Cereais,Manual
PASTA COLGATE TOTAL ORIGINAL 75,Higiene,Pasta de dentes,Higiene & Saúde,Manual
BANHA CONTINENTE 450G,Laticinios/Beb. Veg.,Banha,Ingredientes & Temperos,Manual
CONDIC HERBAL ALOE MOIST 250ML,Beleza,Acondicionador,Higiene & Saúde,Manual
PAST MAQ LOIC FINISH PWR LI,Limpeza do Lar,Detergente maquina loiça,Casa,Manual
BANANA DA MADEIRA CNT KG,Frutas e Legumes,Bananas,Frutas & Legumes,Manual
RENOVA DESIGN XXL 3R,Limpeza do Lar,Rolo papel de cozinha,Casa,Manual
TAB LINDT EXCELL CARA SALG 100G,Mercearia Doce,Chocolate,Snacks & Doces,Manual
MERENDEIRA OVELHA AMANT SEIA CN,Charcutaria&Queijos,Queijo ovelha/cabra,Lacticínios,Manual
GRANOLA CEMPORC CLASSICA BIO 35,Pequeno Almoco,Granola,Casa,Manual
REQUEIJAO DE VACA CONT EQUILIBR,Charcutaria&Queijos,Requeijão,Lacticínios,Manual
NABO SEM RAMA,Frutas e Legumes,Nabo,Frutas & Legumes,Manual
FERMENTO PO FERMIPAN PADEIRO,Mercearia Doce,Levedura,Ingredientes & Temperos,Manual
VB COUTADA VELHA SIG REG ALENT,Vinho e Espirituosas,Vinho branco,Bebidas,Manual
VB GUARDA RIOS REG.ALENT 75CL,Vinho e Espirituosas,Vinho branco,Bebidas,Manual
NOVILHO VAZIA/LOMBO AT CONTINEN,Talho,Carne vaca,Carne & Peixe,Manual
