original_product,original_category,catalog_product,catalog_category,confidence
LEITE C/CHOC MIMOSA AJUST 4*200,Laticinios/Beb. Veg.,Leite,Lacticínios,Manual
BOLINHAS ALHEIRA E CHOURICO CNT,Congelados,Chouriço,Carne & Peixe,Manual
(MENU) GALAO / MEIA DE LEITE,Cafetaria,Cafetaria,Lacticínios,Manual
GENGIBRE CNT KG,Frutas e Legumes,Gengibre,Frutas & Legumes,Manual
COGUMELO MARRON CNT 300G,Casa-Cozinha/Lavand,Cogumelos,Frutas & Legumes,Manual
VB MURALHAS DE MONCAO DOC 75CL,Vinho e Espirituosas,Vinho verde,Bebidas,Manual
IOG PROTEICO SOLIDO PESSEGO MAR,Laticinios/Beb. Veg.,Pêssego,Frutas & Legumes,Manual
PIMENTAO DOCE CNT FRS 45G,Mercearia Salgada,Pimentão doce,Snacks & Doces,Manual
CONJ 4 PILHAS A,DIY,Pilhas,Casa,Manual
FLOCOS DE AVEIA FINO CNT EQ 1KG,Pequeno Almoco,Aveia,Cereais,Manual
BOLACHA OREO TUBO 154G,Mercearia Doce,Bolachas,Snacks & Doces,Manual
FICHA DUPLA FRONTAL BRANCA LEGR,DIY,Extensão corrente,Casa,Manual
GUARDANAPOS 2F CONTINENTE 100UN,Limpeza do Lar,Guardanapos,Casa,Manual
SACO LIXO SILVEX100%RECICL130L,Limpeza do Lar,Sacos do lixo,Casa,Manual
LARANJA IMPORTADA,Frutas e Legumes,Laranja,Frutas & Legumes,Manual
BOL. DIGESTIVE AVEIA GULLON ZER,Mercearia Doce,Bolachas,Cereais,Manual
LUVA COZINHA SILICONE CHEFE,Casa-Cozinha/Lavand,Luvas,Casa,Manual
RUCULA RESIDUO ZERO 100GR,Frutas e Legumes,Rúcula,Frutas & Legumes,Manual
GUARDANAPOS 2F 200UN CONT.POUPA,Limpeza do Lar,Guardanapos,Casa,Manual
CHOURICO CARNE LAMEGO CNT QS,Charcutaria&Queijos,Chouriço,Carne & Peixe,Manual
PAO MAFRA COMPRIDO 500G,Padaria,Pão,Padaria & Pastelaria,Manual
MACA GALA ALCOBACA CAL.70/7,Frutas e Legumes,Maçã royal gala,Frutas & Legumes,Manual
SACO LIXO VILEDA 100% RECI 30L,Limpeza do Lar,Sacos do lixo,Casa,Manual
CREME VINAGRE PONTI BALSAMICO,Mercearia Salgada,Vinagre,Ingredientes & Temperos,Manual
SARDINHA AZEITE RAMIREZ 88G,Mercearia Salgada,Sardinha enlatada,Carne & Peixe,Manual
